,,act,act
,,mean,std
type,pos,,
ir,0.0,25.487,0.5235504799970148
ir,0.5,26.698,0.8458791352855995
ir,1.0,26.295,0.6231880642016205
ir,1.5,25.893,0.3219544294689133
ir,2.0,26.998,0.4584825037078381
us,0.0,1.5701333333333334,0.20407193180350358
us,0.5,1.5194833333333335,0.20273048470834532
us,1.0,1.4791833333333333,0.20161069444762086
us,1.5,1.4372333333333334,0.1995232321201851
us,2.0,1.3979166666666667,0.20049145553366401
